source,target,correlation,abs_correlation,mantegna_distance,same_sector
GOOG,GOOGL,0.995985,0.995985,0.089615,True
FOX,FOXA,0.987461,0.987461,0.158362,True
NWS,NWSA,0.974711,0.974711,0.224897,True
FRT,REG,0.923489,0.923489,0.391180,True
CFG,FITB,0.923322,0.923322,0.391607,True
FITB,RF,0.921026,0.921026,0.397428,True
AMAT,LRCX,0.917648,0.917648,0.405837,True
MET,PRU,0.916586,0.916586,0.408445,True
CFG,KEY,0.913754,0.913754,0.415320,True
CPT,MAA,0.912639,0.912639,0.417997,True
DHI,LEN,0.911927,0.911927,0.419698,True
CFG,RF,0.911393,0.911393,0.420969,True
ESS,UDR,0.910051,0.910051,0.424144,True
FITB,KEY,0.908761,0.908761,0.427174,True
DAL,UAL,0.907088,0.907088,0.431073,True
MLM,VMC,0.906917,0.906917,0.431470,True
MA,V,0.906788,0.906788,0.431769,True
LEN,PHM,0.901962,0.901962,0.442804,True
KLAC,LRCX,0.900947,0.900947,0.445092,True
AMAT,KLAC,0.898018,0.898018,0.451623,True
FITB,PNC,0.895752,0.895752,0.456613,True
DHI,PHM,0.894916,0.894916,0.458442,True
CMS,LNT,0.891945,0.891945,0.464876,True
COF,SYF,0.891631,0.891631,0.465551,True
KEY,RF,0.891127,0.891127,0.466632,True
FITB,TFC,0.889206,0.889206,0.470731,True
PFG,PRU,0.888047,0.888047,0.473186,True
FITB,HBAN,0.887656,0.887656,0.474013,True
HLT,MAR,0.886751,0.886751,0.475918,True
CFG,HBAN,0.885808,0.885808,0.477895,True
CFG,PNC,0.885633,0.885633,0.478262,True
CPT,UDR,0.885083,0.885083,0.479410,True
BAC,JPM,0.883439,0.883439,0.482828,True
HBAN,KEY,0.883111,0.883111,0.483506,True
HBAN,RF,0.882650,0.882650,0.484459,True
MCO,SPGI,0.882023,0.882023,0.485750,True
NCLH,RCL,0.882013,0.882013,0.485771,True
CMS,WEC,0.881695,0.881695,0.486427,True
CFG,TFC,0.878747,0.878747,0.492448,True
PSX,VLO,0.878407,0.878407,0.493139,True
PNC,RF,0.877585,0.877585,0.494803,True
