ticker,company,sector,degree,component,is_isolated,is_articulation_point,network_role,is_mst_leaf
A,Agilent Technologies,Health Care,68,0,False,False,Intermediate,False
AAPL,Apple Inc.,Information Technology,72,0,False,False,Intermediate,False
ABBV,AbbVie,Health Care,0,18,True,False,Isolated,True
ABT,Abbott Laboratories,Health Care,25,0,False,False,Intermediate,False
ACGL,Arch Capital Group,Financials,113,0,False,False,Intermediate,False
ACN,Accenture,Information Technology,142,0,False,True,Central bridge,False
ADBE,Adobe Inc.,Information Technology,44,0,False,False,Intermediate,False
ADI,Analog Devices,Information Technology,144,0,False,False,Hub / central,False
ADM,Archer Daniels Midland,Consumer Staples,14,0,False,False,Intermediate,False
ADP,Automatic Data Processing,Industrials,179,0,False,False,Hub / central,False
ADSK,Autodesk,Information Technology,81,0,False,False,Intermediate,False
AEE,Ameren,Utilities,57,0,False,False,Intermediate,False
AEP,American Electric Power,Utilities,43,0,False,False,Peripheral,True
AES,AES Corporation,Utilities,17,0,False,False,Intermediate,False
AFL,Aflac,Financials,173,0,False,False,Hub / central,True
AIG,American International Group,Financials,187,0,False,False,Hub / central,False
AIZ,Assurant,Financials,53,0,False,False,Peripheral,True
AJG,Arthur J. Gallagher & Co.,Financials,87,0,False,False,Intermediate,False
AKAM,Akamai Technologies,Information Technology,0,36,True,False,Isolated,True
ALB,Albemarle Corporation,Materials,1,0,False,False,Peripheral,True
ALGN,Align Technology,Health Care,2,0,False,False,Peripheral,True
ALL,Allstate,Financials,57,0,False,False,Intermediate,False
ALLE,Allegion,Industrials,164,0,False,False,Hub / central,True
AMAT,Applied Materials,Information Technology,81,0,False,False,Intermediate,False
AMCR,Amcor,Materials,69,0,False,False,Peripheral,True
AMD,Advanced Micro Devices,Information Technology,28,0,False,False,Peripheral,True
AME,Ametek,Industrials,236,0,False,False,Hub / central,False
AMGN,Amgen,Health Care,1,0,False,False,Peripheral,False
AMP,Ameriprise Financial,Financials,265,0,False,False,Hub / central,False
AMT,American Tower,Real Estate,49,0,False,False,Intermediate,False
AMZN,Amazon,Consumer Discretionary,25,0,False,True,Bridge,False
ANET,Arista Networks,Information Technology,11,0,False,False,Peripheral,True
AON,Aon plc,Financials,22,0,False,False,Intermediate,False
AOS,A. O. Smith,Industrials,50,0,False,False,Peripheral,True
APA,APA Corporation,Energy,36,0,False,False,Peripheral,True
APD,Air Products,Materials,38,0,False,False,Peripheral,True
APH,Amphenol,Information Technology,176,0,False,False,Hub / central,False
APO,Apollo Global Management,Financials,119,0,False,False,Peripheral,True
APTV,Aptiv,Consumer Discretionary,134,0,False,False,Intermediate,False
ARE,Alexandria Real Estate Equities,Real Estate,62,0,False,False,Intermediate,False
ARES,Ares Management,Financials,122,0,False,False,Peripheral,True
ATO,Atmos Energy,Utilities,53,0,False,False,Peripheral,True
AVGO,Broadcom,Information Technology,43,0,False,False,Intermediate,False
AVY,Avery Dennison,Materials,139,0,False,False,Hub / central,False
AWK,American Water Works,Utilities,51,0,False,False,Intermediate,False
AXON,Axon Enterprise,Industrials,0,35,True,False,Isolated,True
AXP,American Express,Financials,219,0,False,False,Hub / central,False
AZO,AutoZone,Consumer Discretionary,4,0,False,False,Peripheral,False
BA,Boeing,Industrials,84,0,False,False,Peripheral,True
BAC,Bank of America,Financials,199,0,False,False,Hub / central,False
BALL,Ball Corporation,Materials,0,40,True,False,Isolated,True
BAX,Baxter International,Health Care,0,19,True,False,Isolated,True
BBY,Best Buy,Consumer Discretionary,43,0,False,True,Bridge,False
BDX,Becton Dickinson,Health Care,0,20,True,False,Isolated,True
BEN,Franklin Resources,Financials,118,0,False,False,Peripheral,True
BF-B,Brown–Forman,Consumer Staples,3,0,False,False,Peripheral,False
