source,target,correlation,abs_correlation,mantegna_distance,same_sector
BAC,JPM,0.880402,0.880402,0.489077,True
GS,MS,0.871258,0.871258,0.507429,True
COP,EOG,0.865782,0.865782,0.518108,True
BAC,WFC,0.852921,0.852921,0.542363,True
DUK,SO,0.850083,0.850083,0.547571,True
CVX,XOM,0.848958,0.848958,0.549622,True
COP,CVX,0.840972,0.840972,0.563965,True
COP,XOM,0.837019,0.837019,0.570931,True
BAC,MS,0.825698,0.825698,0.590427,True
GS,JPM,0.823506,0.823506,0.594128,True
BAC,GS,0.819831,0.819831,0.600282,True
AEP,SO,0.816226,0.816226,0.606257,True
AEP,DUK,0.813867,0.813867,0.610136,True
JPM,MS,0.811567,0.811567,0.613894,True
JPM,WFC,0.808485,0.808485,0.618894,True
COP,SLB,0.807925,0.807925,0.619798,True
EOG,XOM,0.795345,0.795345,0.639773,True
EOG,SLB,0.785627,0.785627,0.654787,True
SLB,XOM,0.784196,0.784196,0.656969,True
CVX,SLB,0.769215,0.769215,0.679389,True
MS,WFC,0.765990,0.765990,0.684120,True
GS,WFC,0.763359,0.763359,0.687955,True
CVX,EOG,0.746015,0.746015,0.712720,True
KO,PEP,0.719648,0.719648,0.748802,True
AAPL,MSFT,0.702397,0.702397,0.771496,True
PEP,PG,0.698414,0.698414,0.776641,True
GOOGL,MSFT,0.696836,0.696836,0.778671,False
T,VZ,0.684939,0.684939,0.793802,True
ADBE,MSFT,0.682069,0.682069,0.797410,True
NEE,SO,0.680064,0.680064,0.799920,True
DUK,NEE,0.673928,0.673928,0.807554,True
MSFT,NVDA,0.670179,0.670179,0.812183,True
AMZN,MSFT,0.670100,0.670100,0.812281,False
AEP,NEE,0.656591,0.656591,0.828745,True
ADBE,CRM,0.655956,0.655956,0.829511,True
HON,JPM,0.653432,0.653432,0.832548,False
HON,UNP,0.648951,0.648951,0.837913,True
HON,MS,0.643302,0.643302,0.844628,False
CAT,MS,0.638604,0.638604,0.850172,False
BAC,HON,0.637524,0.637524,0.851441,False
DUK,KO,0.636763,0.636763,0.852334,False
GS,HON,0.632585,0.632585,0.857222,False
AMZN,GOOGL,0.631617,0.631617,0.858351,False
CAT,GS,0.631529,0.631529,0.858453,False
AMT,PLD,0.628318,0.628318,0.862186,True
BAC,CAT,0.627592,0.627592,0.863027,False
KO,PG,0.626517,0.626517,0.864272,True
KO,SO,0.624683,0.624683,0.866391,False
AAPL,GOOGL,0.619067,0.619067,0.872849,False
CRM,MSFT,0.618631,0.618631,0.873349,True
DUK,PEP,0.618150,0.618150,0.873899,False
JPM,UNP,0.617736,0.617736,0.874373,False
CAT,JPM,0.616644,0.616644,0.875621,False
META,MSFT,0.614663,0.614663,0.877880,False
AMZN,META,0.613877,0.613877,0.878775,False
HD,PLD,0.609979,0.609979,0.883200,False
MS,UNP,0.609409,0.609409,0.883845,False
