ticker,company,official_sector,degree,same_sector_neighbors,cross_sector_neighbors,same_sector_share,expected_same_sector_share,same_sector_share_ratio,dominant_neighbor_sector,dominant_neighbor_sector_share,dominant_neighbor_sectors_tied,n_dominant_tied_sectors,dominant_sector_is_tied,official_in_dominant_tie,dominant_equals_official,n_neighbor_sectors,meets_cross_sector_rule
AMZN,Amazon,Consumer Discretionary,25,0,25,0.000000,0.095137,0.000000,Information Technology,0.680000,Information Technology,1,False,False,False,3,True
CSGP,CoStar Group,Real Estate,12,0,12,0.000000,0.059197,0.000000,Financials,0.416667,"Financials, Information Technology",2,True,False,False,3,False
HSIC,Henry Schein,Health Care,6,0,6,0.000000,0.118393,0.000000,Financials,0.666667,Financials,1,False,False,False,2,True
EL,Estée Lauder Companies (The),Consumer Staples,3,0,3,0.000000,0.071882,0.000000,Consumer Discretionary,0.666667,Consumer Discretionary,1,False,False,False,2,False
TTD,Trade Desk (The),Communication Services,3,0,3,0.000000,0.044397,0.000000,Information Technology,0.666667,Information Technology,1,False,False,False,2,False
CMG,Chipotle Mexican Grill,Consumer Discretionary,1,0,1,0.000000,0.095137,0.000000,Information Technology,1.000000,Information Technology,1,False,False,False,1,False
NFLX,Netflix,Communication Services,1,0,1,0.000000,0.044397,0.000000,Consumer Discretionary,1.000000,Consumer Discretionary,1,False,False,False,1,False
TGT,Target Corporation,Consumer Staples,1,0,1,0.000000,0.071882,0.000000,Consumer Discretionary,1.000000,Consumer Discretionary,1,False,False,False,1,False
SYY,Sysco,Consumer Staples,120,1,119,0.008333,0.071882,0.115931,Financials,0.308333,Financials,1,False,False,False,11,True
GRMN,Garmin,Consumer Discretionary,55,1,54,0.018182,0.095137,0.191111,Financials,0.363636,Financials,1,False,False,False,7,True
UHS,Universal Health Services,Health Care,80,5,75,0.062500,0.118393,0.527902,Financials,0.312500,Financials,1,False,False,False,10,True
TDY,Teledyne Technologies,Information Technology,131,10,121,0.076336,0.133192,0.573125,Financials,0.328244,Financials,1,False,False,False,11,True
PAYC,Paycom,Industrials,22,3,19,0.136364,0.154334,0.883562,Information Technology,0.500000,Information Technology,1,False,False,False,3,True
SYK,Stryker Corporation,Health Care,138,15,123,0.108696,0.118393,0.918090,Financials,0.289855,Financials,1,False,False,False,10,True
ADM,Archer Daniels Midland,Consumer Staples,14,1,13,0.071429,0.071882,0.993697,Financials,0.500000,Financials,1,False,False,False,5,True
MDT,Medtronic,Health Care,92,11,81,0.119565,0.118393,1.009899,Financials,0.358696,Financials,1,False,False,False,9,False
LUV,Southwest Airlines,Industrials,68,11,57,0.161765,0.154334,1.048147,Financials,0.441176,Financials,1,False,False,False,7,False
MCD,McDonald's,Consumer Discretionary,70,7,63,0.100000,0.095137,1.051111,Financials,0.285714,Financials,1,False,False,False,9,False
IBM,IBM,Information Technology,35,5,30,0.142857,0.133192,1.072562,Financials,0.542857,Financials,1,False,False,False,3,False
IQV,IQVIA,Health Care,132,17,115,0.128788,0.118393,1.087798,Industrials,0.257576,Industrials,1,False,False,False,7,False
F,Ford Motor Company,Consumer Discretionary,76,8,68,0.105263,0.095137,1.106433,Financials,0.447368,Financials,1,False,False,False,6,False
