sector,n_stocks_with_neighbours,n_isolated,mean_degree,mean_same_sector_share,median_same_sector_share,min_same_sector_share,max_same_sector_share,share_dominant_equals_official,n_dominant_equals_official
Health Care,40,17,27.625000,0.592314,0.516667,0.000000,1.000000,0.675000,27
Consumer Staples,30,5,18.166667,0.563271,0.519231,0.000000,1.000000,0.600000,18
Information Technology,60,4,67.366667,0.513123,0.497059,0.076336,1.000000,0.750000,45
Utilities,29,1,53.206897,0.459342,0.438596,0.226087,0.781250,0.931034,27
Industrials,73,1,112.342466,0.396546,0.315789,0.136364,1.000000,0.753425,55
Financials,71,1,132.845070,0.395554,0.301775,0.216216,1.000000,0.901408,64
Energy,19,1,64.894737,0.329208,0.272727,0.166667,0.941176,0.263158,5
Communication Services,18,4,31.500000,0.305768,0.109890,0.000000,1.000000,0.222222,4
Real Estate,29,0,95.689655,0.297034,0.234694,0.000000,0.933333,0.379310,11
Consumer Discretionary,42,4,62.785714,0.252153,0.188235,0.000000,1.000000,0.142857,6
Materials,22,3,96.909091,0.194042,0.104001,0.063158,1.000000,0.090909,2
