ticker,sector,company,n_observations,mean_daily_return,std_daily_return,min_daily_return,max_daily_return,median_daily_return,skewness,excess_kurtosis,annualised_mean_return,annualised_volatility
A,Health Care,Agilent Technologies,1706,0.000333,0.018589,-0.116666,0.093849,0.000805,-0.215592,4.203660,0.083994,0.295093
AAPL,Information Technology,Apple Inc.,1706,0.001055,0.019488,-0.137708,0.142617,0.001210,-0.014112,6.470725,0.265948,0.309363
ABBV,Health Care,AbbVie,1706,0.000783,0.016054,-0.177363,0.083582,0.001039,-1.701465,17.718966,0.197304,0.254848
ABT,Health Care,Abbott Laboratories,1706,0.000332,0.015631,-0.102982,0.103784,0.000695,-0.201883,6.915938,0.083774,0.248132
ACGL,Financials,Arch Capital Group,1706,0.000673,0.019686,-0.184827,0.142868,0.001276,-0.742593,12.217281,0.169687,0.312502
ACN,Information Technology,Accenture,1706,0.000339,0.017670,-0.097697,0.120954,0.001121,-0.021265,5.336334,0.085478,0.280497
ADBE,Information Technology,Adobe Inc.,1706,0.000175,0.023050,-0.183841,0.163133,0.001112,-0.882900,9.900621,0.044052,0.365901
ADI,Information Technology,Analog Devices,1706,0.000608,0.022206,-0.181700,0.168794,0.001025,-0.096642,8.331613,0.153341,0.352512
ADM,Consumer Staples,Archer Daniels Midland,1706,0.000296,0.018701,-0.277034,0.097757,0.001156,-2.267810,31.129868,0.074687,0.296872
ADP,Industrials,Automatic Data Processing,1706,0.000384,0.016266,-0.165495,0.111573,0.001104,-0.886721,14.785599,0.096881,0.258220
ADSK,Information Technology,Autodesk,1706,0.000382,0.023191,-0.168341,0.150130,0.000973,-0.419753,6.482654,0.096225,0.368140
AEE,Utilities,Ameren,1706,0.000302,0.015108,-0.143808,0.163830,0.000612,-0.491736,20.239938,0.076103,0.239827
AEP,Utilities,American Electric Power,1706,0.000333,0.014520,-0.123103,0.110490,0.000807,-0.255280,9.995372,0.084020,0.230495
AES,Utilities,AES Corporation,1706,0.000011,0.025204,-0.189963,0.180513,0.000635,-0.325884,8.618513,0.002737,0.400098
AFL,Financials,Aflac,1706,0.000563,0.018393,-0.179501,0.232512,0.001444,-0.277496,32.624799,0.141921,0.291972
AIG,Financials,American International Group,1706,0.000506,0.023182,-0.233761,0.172341,0.001058,-1.017511,16.189690,0.127437,0.367998
AIZ,Financials,Assurant,1706,0.000620,0.018457,-0.219849,0.132329,0.001458,-1.129186,20.958946,0.156239,0.292991
